A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
A,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
A,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
A,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
A,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
A,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
A,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
A,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
A,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8
A,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
A,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8
A,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8
A,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5
A,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8
A,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
A,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8
A,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8
A,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8
A,2,6,4,4,2,12,2,4,3,12,2,10,2,6,3,9
A,3,9,5,7,3,12,3,4,3,11,1,9,2,6,3,9
A,3,8,5,5,1,6,6,3,1,6,0,8,2,6,1,7
A,3,9,6,7,3,11,2,3,3,10,2,9,2,6,3,8
A,4,9,6,6,2,7,4,3,2,7,1,8,3,7,3,8
A,5,11,7,8,4,8,3,2,3,7,1,8,2,7,3,7
A,3,8,5,5,2,7,4,3,1,7,1,8,3,7,2,8
A,3,9,6,7,4,11,3,2,2,9,2,9,3,4,3,8
A,4,9,6,7,4,10,3,2,2,8,2,10,4,4,3,8
A,3,5,5,5,4,9,8,3,4,6,8,7,4,10,4,5
A,3,10,6,8,4,12,2,3,3,10,2,9,2,6,4,8
A,1,1,3,2,1,6,2,2,1,6,2,7,1,6,2,6
A,2,3,3,2,1,8,2,2,1,6,2,8,2,7,2,7
A,3,3,5,4,1,9,3,3,2,8,2,9,3,6,2,8
A,2,4,4,5,1,8,6,3,1,7,0,8,2,6,1,8
A,3,6,5,4,2,9,2,2,2,7,1,8,2,7,3,7
A,3,4,5,6,2,8,5,3,1,7,1,8,2,7,2,8
A,4,9,6,7,3,11,2,4,3,10,2,9,3,7,3,8
A,7,15,5,8,4,10,3,3,2,8,4,11,5,5,4,8
A,1,3,2,2,1,9,3,2,1,8,2,9,1,6,1,7
A,6,14,6,8,4,12,2,3,2,12,4,11,4,4,4,11
